基隆港,25.139761,121.714806,0,0
福爾摩沙高速公路,基金,25.137209,121.709563,0,0
福爾摩沙高速公路,瑪東系統,25.119168,121.695095,25.129822,121.698260
福爾摩沙高速公路,新台五路,25.054122,121.635050,25.059468,121.641142
福爾摩沙高速公路,南港,25.041637,121.624558,0,0
福爾摩沙高速公路,南深路,25.032407,121.615385,0,0
福爾摩沙高速公路,木柵,24.993658,121.593370,25.005042,121.595478
福爾摩沙高速公路,新店,24.972275,121.552943,24.974845,121.555553
福爾摩沙高速公路,安坑,24.973607,121.520800,24.965109,121.528412
福爾摩沙高速公路,中和,24.988244,121.479553,24.987680,121.489648
福爾摩沙高速公路,土城,24.959200,121.426458,24.963694,121.439062
福爾摩沙高速公路,三鶯,24.935834,121.355540,24.941696,121.362880
福爾摩沙高速公路,大溪,24.887736,121.262522,24.895986,121.266328
福爾摩沙高速公路,龍潭,24.860012,121.217031,24.863358,121.229348
福爾摩沙高速公路,關西,24.805123,121.164286,24.797872,121.177989
福爾摩沙高速公路,竹林,24.763813,121.078830,24.770662,121.084841
福爾摩沙高速公路,寶山,24.756438,121.000440,24.755710,121.012534
福爾摩沙高速公路,茄苳,24.754490,120.952195,24.759056,120.964303
福爾摩沙高速公路,香山,24.727080,120.902314,24.738758,120.916887
福爾摩沙高速公路,西濱,0,0,24.703219,120.870975
福爾摩沙高速公路,竹南,24.670565,120.847208,24.681542,120.847329
福爾摩沙高速公路,大山,24.631580,120.815381,24.640015,120.820958
福爾摩沙高速公路,後龍,24.593612,120.782122,24.603167,120.790598
福爾摩沙高速公路,通霄,24.491845,120.704247,24.503702,120.709060
福爾摩沙高速公路,苑裡,24.390652,120.668206,24.402714,120.670491
福爾摩沙高速公路,大甲,24.334675,120.635687,24.340049,120.649889
福爾摩沙高速公路,中港系統,24.304298,120.609382,24.313553,120.618271
福爾摩沙高速公路,沙鹿,24.244494,120.593080,24.255693,120.588649
福爾摩沙高速公路,龍井,24.191895,120.566400,24.200057,120.576847
福爾摩沙高速公路,和美,24.132494,120.525300,24.146631,120.519137
福爾摩沙高速公路,快官,24.085113,120.612370,24.097862,120.594086
福爾摩沙高速公路,烏日,24.067907,120.651828,24.069925,120.640356
福爾摩沙高速公路,中投,24.061441,120.670156,24.067459,120.654588
福爾摩沙高速公路,霧峰,24.044607,120.679110,24.057219,120.674820
福爾摩沙高速公路,霧峰系統,24.024515,120.666808,24.031139,120.671465
福爾摩沙高速公路,草屯,24.000507,120.650501,24.009788,120.656200
福爾摩沙高速公路,中興系統,23.959212,120.653915,23.961301,120.651450
福爾摩沙高速公路,中興,23.944664,120.671108,23.953712,120.664416
福爾摩沙高速公路,名間,23.852700,120.702541,23.855894,120.701825
福爾摩沙高速公路,竹山,23.793096,120.703332,23.800215,120.699781
福爾摩沙高速公路,斗六,23.727074,120.599960,23.739921,120.591833
福爾摩沙高速公路,古坑系統,23.660037,120.572486,23.668891,120.576504
福爾摩沙高速公路,梅山,23.589691,120.519080,23.600079,120.525424
福爾摩沙高速公路,竹崎,23.494810,120.494192,23.526833,120.485934
福爾摩沙高速公路,中埔,23.445247,120.480530,23.456532,120.489048
福爾摩沙高速公路,水上系統,23.425914,120.466099,23.431185,120.470787
福爾摩沙高速公路,白河,23.342426,120.438550,23.351348,120.439118
福爾摩沙高速公路,烏山頭,23.206917,120.355616,23.218559,120.357684
福爾摩沙高速公路,官田系統,23.161377,120.349712,23.172676,120.353947
福爾摩沙高速公路,善化,23.119332,120.329743,23.128355,120.333024
福爾摩沙高速公路,新化系統,23.056671,120.321638,23.070293,120.326648
福爾摩沙高速公路,關廟,22.973433,120.329403,22.980669,120.321957
福爾摩沙高速公路,田寮,22.876860,120.360843,22.883722,120.360658
福爾摩沙高速公路,燕巢系統,22.780613,120.427453,22.789011,120.425726
福爾摩沙高速公路,九如,22.749848,120.496848,22.755354,120.487245
福爾摩沙高速公路,長治,22.689208,120.561237,22.700886,120.547463
福爾摩沙高速公路,麟洛,22.629785,120.534144,22.649893,120.544964
福爾摩沙高速公路,竹田系統,22.564433,120.527725,22.578151,120.526580
福爾摩沙高速公路,崁頂,0,0,22.520533,120.523527
福爾摩沙高速公路,南州,22.484840,120.531250,22.495630,120.527921
福爾摩沙高速公路,林邊,0,0,22.449842,120.511195
福爾摩沙高速公路,大鵬灣端,0,0,22.441691,120.500015
